,pathogen_type
ABAU,B
ACAL,B
ACIN,B
ACRA,B
ADENOVIRUS,V
AEHY,B
AGGA,B
AHST,B
ALWO,B
BCPE,B
BHST,B
BORD,B
C_PNEU,B
CALB,F
CASP,F
CBRA,B
CITR,B
CKRU,F
CMV,V
COLI,B
COR_229,V
COR_43,V
COR_63,V
COR_HKU,V
CORY,B
DIPH,B
EAER,B
EASB,B
ECLO,B
ECOL,B
EFAE,B
ENFA,B
ENTC,B
ESAK,B
ESPE,B
FLU_C,V
GNBI,B
GNCI,B
GPBI,B
HAEM,B
HBOV,V
HHAE,B
HIB,B
HINB,B
HINF,B
HMPV_A_B,V
HPAR,B
HPHA,B
INFLUENZA_A,V
INFLUENZA_B,V
KISP,B
KOXY,B
KPNE,B
KSPE,B
LEGIO,B
M_PNEU,B
MCAT,B
MGNR,B
MONL,B
MORA,B
NFGB,B
PAER,B
PARA1,V
PARA2,V
PARA3,V
PARA4,V
PASP,B
PCP,F
PFLU,B
PNEU,B
PRMI,B
PSEU,B
PSTU,B
PV_EV,V
RHINO,V
RSV_A_B,V
SASP,B
SAUR,B
SEMA,B
SEPI,B
SESP,B
SMIL,B
SPAA,B
STCN,B
STMA,B
STRA,B
STRC,B
STRG,B
STSP,B
STYP,B
PNEU_13,B
PNEU_15B,B
PNEU_16F,B
PNEU_19A,B
PNEU_19F,B
PNEU_23F,B
PNEU_35B,B
PNEU_6A,B
PNEU_6Az,B
PNEU_6Bz,B
PNEU_VT,B
PNEU_NOVT,B
HINF_NOB,B
FLU_A,V
FLU_B,V
ADENO,V
BOPE,B
PARA_1,V
PARA_2,V
PARA_3,V
PARA_4,V
RSV,V
LEGS,B
PNEU_N,B
PNEU_UKN,B
PNEU_NOVT_N,B
PNEUVT_N,B
HI_NOB,B
ENTRB,B
NFGNR,B
FUNGI,B
HAEMO,B
OTHER,B
NMEN,B
TB,B
PNEU_VT13,B
PNEU_NOVT13,B
PNEU_VT10,B
PNEU_NOVT10,B
ADENO_2,V
PCP_2,V
CMV_2,V
COR_229_2,V
COR_43_2,V
COR_HKU_2,V
HBOV_2,V
HMPV_A_B_2,V
FLU_A_2,V
FLU_B_2,V
FLU_C_2,V
PARA_1_2,V
PARA_2_2,V
PARA_3_2,V
PARA_4_2,V
PV_EV_2,V
RHINO_2,V
RSV_2,V
COR_63_2,V
ADENO_4,V
PCP_4,V
CMV_4,V
COR_229_4,V
COR_43_4,V
COR_HKU_4,V
HBOV_4,V
HMPV_A_B_4,V
FLU_A_4,V
FLU_B_4,V
FLU_C_4,V
PARA_1_4,V
PARA_2_4,V
PARA_3_4,V
PARA_4_4,V
PV_EV_4,V
RHINO_4,V
RSV_4,V
COR_63_4,V
ADENO_6,V
PCP_6,V
CMV_6,V
COR_229_6,V
COR_43_6,V
COR_HKU_6,V
HBOV_6,V
HMPV_A_B_6,V
FLU_A_6,V
FLU_B_6,V
FLU_C_6,V
PARA_1_6,V
PARA_2_6,V
PARA_3_6,V
PARA_4_6,V
PV_EV_6,V
RHINO_6,V
RSV_6,V
COR_63_6,V
HINF_2,B
MCAT_2,B
PNEU_VT13_2,B
PNEU_NOVT13_2,B
SASP_2,B
SAUR_2,B
BOPE_2,B
C_PNEU_2,B
M_PNEU_2,B
HINF_4,B
MCAT_4,B
PNEU_VT13_4,B
PNEU_NOVT13_4,B
SASP_4,B
SAUR_4,B
BOPE_4,B
C_PNEU_4,B
M_PNEU_4,B
HINF_6,B
MCAT_6,B
PNEU_VT13_6,B
PNEU_NOVT13_6,B
SASP_6,B
SAUR_6,B
BOPE_6,B
C_PNEU_6,B
M_PNEU_6,B
PNEU_VT13_R,B
PNEU_NOVT13_R,B
HINF_R,B
CMV_R,V
PCP_R,V
OTHSTR,B
COR,V
TB_S,B
HINF_NOB_MAX,B
