Order,Category,Pathogen
1,virus,RSV
,virus,RSV_A_B
2,virus,RHINO
3,virus,HMPV_A_B
4,virus,ADENO
,virus,ADENOVIRUS
5,virus,CMV*
,virus,CMV
6,virus,PARA_3
7,virus,PV_EV
8,virus,FLU_A
9,virus,PARA_1
,virus,PARA1
10,virus,PARA_4
11,virus,FLU_B
12,virus,HBOV
13,virus,COR
14,virus,COR_43
15,virus,PARA_2
16,virus,COR_63
17,virus,COR_HKU
18,virus,COR_229
19,virus,FLU_C
20,bacterium,PNEU_NOVT13
,bacterium,PNEU_NOVT13*
21,bacterium,PNEU_VT13
,bacterium,PNEU_VT13*
,bacterium,PNEU
22,bacterium,MCAT
23,bacterium,HINF*
,bacterium,HINF
24,bacterium,SAUR
25,bacterium,SASP
26,bacterium,M_PNEU
27,bacterium,BOPE
28,bacterium,C_PNEU
29,bacterium,ENTRB
30,bacterium,NFGNR
31,bacterium,OTHSTR
32,bacterium,HAEMO
33,bacterium,NMEN
34,other,PCP*
,other,PCP
35,other,FUNGI
36,other,TB
37,other,PNEU_VT13+PNEU_NOVT13
38,other,PNEU_VT13+HMPV_A_B
39,other,PNEU_VT13+PARA_3
40,other,PNEU_VT13+PARA_1
41,other,PNEU_VT13+RSV
42,other,PNEU_NOVT13+HMPV_A_B
43,other,PNEU_NOVT13+PARA_3
44,other,PNEU_NOVT13+PARA_1
45,other,PNEU_NOVT13+RSV
46,other,HMPV_A_B+PARA_3
47,other,HMPV_A_B+PARA_1
48,other,HMPV_A_B+RSV
50,other,PARA_3+PARA_1
51,other,PARA_3+RSV
52,other,PARA_1+RSV
54,other,RHINO+RSV
55,other,RSV+PNEU_VT13
56,other,RSV+HMPV_A_B
57,other,RSV+NFGNR
59,other,PNEU_VT13+RHINO
60,other,PNEU_VT13+NFGNR
61,other,HMPV_A_B+RHINO
62,other,HMPV_A_B+NFGNR
63,other,RHINO+NFGNR
64,other,HINF+PNEU_VT13
65,other,HINF+HMPV_A_B
66,other,HINF+RHINO
67,other,HINF+RSV
68,other,HINF+NFGNR
69,other,A
70,other,B
71,other,C
72,other,NoA
73,other,NA
